Instâncias;3 objetivos;;;;;;4 objetivos;;;;;
;Corr;;;Anticorr;;;Corr;;;Anticorr;;
;1h;2h;3h;1h;2h;3h;1h;2h;3h;1h;2h;3h
5.1;10;10;10;18;18;18;10;10;10;26;26;26
5.2;7;7;7;40;40;40;7;7;7;56;56;56
5.3;2;2;2;56;56;56;4;4;4;64;80;91
7.1;49;49;49;95;95;95;39;50;57;43;54;62
7.2;15;15;15;188;267;267;7;7;7;47;61;70
7.3;1;1;1;256;256;256;2;2;2;56;69;77
10.1;61;78;90;68;86;98;24;29;33;23;29;33
10.2;42;42;42;45;56;64;24;30;34;14;17;20
10.3;6;6;6;91;109;117;7;7;7;30;37;42
12.1;41;50;57;34;43;50;15;19;21;13;17;19
12.2;26;35;42;28;36;41;9;12;13;7;8;10
12.3;4;4;4;51;67;78;8;8;8;19;24;27
15.1;8;12;14;25;32;36;3;4;5;10;12;14
15.2;2;3;4;9;12;14;5;7;8;9;12;13
15.3;14;14;14;31;41;48;10;13;14;6;8;9
17.1;4;6;7;8;12;15;3;4;5;3;4;5
17.2;4;6;8;4;6;7;1;1;1;1;1;1
17.3;17;17;17;10;13;15;2;2;3;9;11;13
20.1;3;4;5;0;1;1;2;3;3;7;8;9
20.2;0;1;1;0;0;0;7;9;11;1;1;2
20.3;2;3;5;3;4;5;0;0;0;3;4;5
22.1;9;13;15;1;2;2;0;0;1;0;0;1
22.2;0;0;0;0;0;0;0;0;0;0;0;0
22.3;13;17;19;2;3;4;0;1;1;0;1;1
25.1;0;0;1;0;0;0;0;0;0;0;0;1
25.2;0;0;0;0;0;0;1;2;2;0;0;0
25.3;0;1;2;3;4;5;1;1;2;1;2;2
27.1;0;0;0;0;0;0;0;0;0;0;1;1
27.2;0;0;0;0;0;0;0;0;0;0;0;0
27.3;0;0;0;0;0;0;0;0;0;0;0;0
30.1;0;0;0;0;0;0;0;0;0;0;0;0
30.2;0;0;0;0;0;0;0;0;0;0;0;0
30.3;0;0;0;0;0;0;0;0;0;0;0;0
33.1;0;0;0;0;0;0;0;0;0;0;0;0
33.2;0;0;0;0;0;0;0;0;0;0;0;0
33.3;0;0;0;0;0;0;0;0;0;0;0;0
35.1;0;0;0;0;0;0;0;0;0;0;0;0
35.2;0;0;0;0;0;0;0;0;0;0;0;0
35.3;0;0;0;0;0;0;0;0;0;0;0;0
38.1;0;0;0;0;0;0;0;0;0;0;0;0
38.2;0;0;0;0;0;0;0;0;0;0;0;0
38.3;0;0;0;0;0;0;0;0;0;0;0;0
40.1;0;0;0;0;0;0;0;0;0;0;0;0
40.2;0;0;0;0;0;0;0;0;0;0;0;0
40.3;0;0;0;0;0;0;0;0;0;0;0;0
42.1;0;0;0;0;0;0;0;0;0;0;0;0
42.2;0;0;0;0;0;0;0;0;0;0;0;0
42.3;0;0;0;0;0;0;0;0;0;0;0;0
45.1;0;0;0;0;0;0;0;0;0;0;0;0
45.2;0;0;0;0;0;0;0;0;0;0;0;0
45.3;0;0;0;0;0;0;0;0;0;0;0;0
48.1;0;0;0;0;0;0;0;0;0;0;0;0
48.2;0;0;0;0;0;0;0;0;0;0;0;0
48.3;0;0;0;0;0;0;0;0;0;0;0;0
50.1;0;0;0;0;0;0;0;0;0;0;0;0
50.2;0;0;0;0;0;0;0;0;0;0;0;0
50.3;0;0;0;0;0;0;0;0;0;0;0;0