Instâncias;Conjunto Pareto ótimo;;;Superconjunto do PLS;;;Superconjunto do KLS;;
;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.
5.1;6;7;2;10;11;2;8;7;2
5.2;6;2;12;8;2;35;8;2;17
5.3;3;1;49;4;1;80;4;1;74
7.1;16;10;20;80;43;383;37;14;129
7.2;22;2;34;58;2;972;56;2;456
7.3;12;2;97;52;2;9090;32;2;4367
10.1;35;24;45;1826;491;2980;750;133;930
10.2;21;11;66;217;59;64689;103;30;7482
10.3;35;2;261;900;2;NT;712;2;NT
12.1;26;55;80;1616;26584;195342;448;1432;18981
12.2;36;9;131;2208;60;NT;824;36;184027
12.3;41;2;460;4371;2;NT;1318;2;NT
15.1;39;45;185;15335;10826;NT;13727;1289;NT
15.2;56;15;258;NT;250;NT;12030;42;NT
15.3;46;8;700;130601;32;NT;11021;32;NT
17.1;34;59;189;3686;NT;NT;NT;2426;NT
17.2;78;36;402;NT;8455;NT;NT;1226;NT
17.3;54;7;969;NT;36;NT;NT;27;NT
20.1;30;72;272;203;NT;NT;NT;NT;NT
20.2;42;37;458;NT;4049;NT;NT;1026;NT
20.3;88;10;1044;NT;60;NT;NT;50;NT
22.1;55;91;253;NT;NT;NT;NT;NT;NT
22.2;88;57;591;NT;17906;NT;NT;2692;NT
22.3;58;6;1202;NT;12;NT;NT;12;NT
25.1;46;163;245;3977;NT;NT;NT;NT;NT
25.2;93;64;735;NT;NT;NT;NT;NT;NT
25.3;135;9;1623;NT;32;NT;NT;32;NT
27.1;51;238;440;NT;NT;NT;NT;NT;NT
27.2;60;101;849;NT;NT;NT;NT;NT;NT
27.3;108;19;1766;NT;658;NT;NT;138;NT
30.1;38;179;428;NT;NT;NT;NT;NT;NT
30.2;86;91;1186;NT;NT;NT;NT;NT;NT
30.3;116;25;2096;NT;3276;NT;NT;NT;NT
33.1;52;212;595;NT;NT;NT;NT;NT;NT
33.2;68;139;1262;NT;NT;NT;NT;NT;NT
33.3;135;17;2321;NT;1646;NT;NT;NT;NT
35.1;101;261;688;NT;NT;NT;NT;NT;NT
35.2;68;120;1418;NT;NT;NT;NT;NT;NT
35.3;134;19;2413;NT;2928;NT;NT;NT;NT
38.1;;;;;;;;;
38.2;;;;;;;;;
38.3;;;;;;;;;
40.1;;;;;;;;;
40.2;;;;;;;;;
40.3;;;;;;;;;
42.1;;;;;;;;;
42.2;;;;;;;;;
42.3;;;;;;;;;
45.1;;;;;;;;;
45.2;;;;;;;;;
45.3;;;;;;;;;
48.1;;;;;;;;;
48.2;;;;;;;;;
48.3;;;;;;;;;
50.1;;;;;;;;;
50.2;;;;;;;;;
50.3;;;;;;;;;