Instâncias;RA;;;SR;;;SS;;;PLS;;;KLS;;
;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.
5.1;0,001;0,001;0,001;0,001;0,001;0,001;0,0514;0,0523;0,0512;0,001;0,001;0,001;0,001;0,001;0,001
5.2;0,001;0,001;0,001;0,001;0,001;0,001;0,0518;0,0496;0,0560;0,001;0,001;0,001;0,001;0,001;0,001
5.3;0,001;0,001;0,001;0,001;0,001;0,01;0,0509;0,0181;0,0578;0,001;0,001;0,001;0,001;0,001;0,001
7.1;0,001;0,001;0,001;0,04;0,001;0,01;0,0578;0,0516;0,0557;0,01;0,01;0,09;0,27;0,07;0,41
7.2;0,001;0,001;0,02;0,03;0,001;0,01;0,0558;0,0451;0,0572;0,01;0,001;0,38;0,37;0,02;0,66
7.3;0,001;0,001;0,38;0,16;0,001;0,11;0,0534;0,0455;0,0752;0,01;0,001;36,79;0,26;0,01;15,83
10.1;0,1;0,03;0,08;0,27;0,01;0,02;0,0579;0,0583;0,0601;1,7;0,44;7,12;25,88;4,8;38,05
10.2;0,05;0,001;29,01;0,37;0,001;0,05;0,0575;0,0474; 0,0727;0,23;0,05;2018,87;10,96;2,4;137,51
10.3;0,23;0,001;917,91;0,4;0,001;0,78;0,0594;0,0506;0,2056;0,97;0,001;NT;38,94;0,3;NT
12.1;0,71;3,35;11,12;0,46;0,06;0,08;0,0569;0,0689; 0,0876;1,89;263,31;10832,16;69,77;133,99;1211,52
12.2;0,64;0,02;1004,93;0,44;0,01;0,25;0,0593;0,0520;0,1178;4,69;0,19;;145,16;16,64;18926,8
12.3;1,22;0,001;301023,12;0,51;0,001;2,36;0,0596;0,0510;0,4461;10,57;0,01;;196,29;1,76;
15.1;439,29;4,36;NT;0,8;0,07;0,47;0,0545;0,0684;0,1645;271,51;49,71;;5860,4;1111,72;
15.2;35,85;0,16;;0,77;0,02;0,71;0,0669;0,0560;0,2478;NT;1,18;;12745,5;56,51;
15.3;246,85;0,01;;1,24;0,01;7,51;0,0610;0,0527;  0,9908;15343,7;0,54;;10209,1;40,02;
17.1;1829,37;40,95;;1,34;0,1;0,84;0,0589;0,0715;0,2334;86,71;37842,4;;;8541,62;
17.2;NT;4,87;;1,06;0,06;2,89;0,0767;0,0609;0,8821;NT;155,04;;NT;1943,54;
17.3;528,01;0,30;;1,01;0,01;12,58;0,0623;0,0519;1,2502;NT;1,57;;NT;279,52;
20.1;8558,1;3740,08;;2,76;0,18;1,54;0,0591;0,0811;0,4455;9,23;;;;;
20.2;2143,32;31,54;;1,86;0,08;3,73;0,0668;0,0560; 0,9732;NT;134,63;;NT;3756,35;
20.3;NT;3,64;;2,36;0,02;20,66;0,0809;0,0528;2,1007;NT;2,4;;NT;737,62;
22.1;63002,13;73896,9;;3;0,32;1,53;0,0647;0,1039;0,3139;NT;;;;;
22.2;NT;233,44;;3,07;0,17;5,41;0,0813;0,0679;1,4613;;2208,41;;;42342,9;
22.3;2041,45;0,47;;2,38;0,02;27,01;0,0693;0,0525;3,4521;;4,58;;;1494,08;
25.1;;;;7,21;0,91;1,5;0,0626;0,1594;0,3516;3011,31;;;;;
25.2;;;;8,17;0,33;13,34;0,0908;0,0829;1,9295;;NT;;;;
25.3;;;;5,79;0,04;46,45;0,1247;0,0534;4,5789;;7,15;;;2662,25;
27.1;;;;12,34;2,02;5,38;0,0660;0,2603;1,2399;;;;;;
27.2;;;;5,38;0,71;17,44;0,074;0,1030;3,6969;;;;;;
27.3;;;;11,08;0,08;49,25;0,0883;0,0602;4,6838;;108,92;;;31015,3;
30.1;;;;15,84;2,47;8,41;0,0637;0,1875;1,5051;;;;;;
30.2;;;;19,07;1,17;38,91;0,0886;0,1021;6,0159;;;;;;
30.3;;;;18,06;0,34;89,36;0,1135;0,0548;7,9327;;613,23;;;;
33.1;;;;23,54;2,92;16;0,0741;0,2989;2,3837;;;;;;
33.2;;;;25,03;2,24;61,21;0,0784;0,1417;9,9143;;;;;;
33.3;;;;26,77;0,59;94,12;0,1452;0,0590;12,1014;;1127;;;;
35.1;;;;35,1;5,88;28,98;0,1013;0,4234;2,2660;;;;;;
35.2;;;;39,88;2,78;73,43;0,0804;0,1677;11,1601;;;;;;
35.3;;;;53,24;0,3;134,96;0,1249;0,0571;13,7568;;6628,48;;;;
38.1;;;;46,82;7,02;28,13;0,1307;0,2371;2,7610;;;;;;
38.2;;;;47,48;7,44;102,89;0,1710;0,2039;9,4535;;;;;;
38.3;;;;41,06;1,4;194,96;0,2480;0,0691;14,7756;;;;;;
40.1;;;;37,69;10,49;63,77;0,0277;0,3208;3,2781;;;;;;
40.2;;;;42,08;8,31;138,79;0,0936;0,2291; 12,9237;;;;;;
40.3;;;;78,91;2,47;230,32;0,1395;0,0698;16,8341;;;;;;
42.1;;;;98,55;17,99;101,87;0,1656;0,4359;3,4873;;;;;;
42.2;;;;66,19;11,77;224,87;0,1097;0,2905;13,4436;;;;;;
42.3;;;;67,06;3,66;228,65;0,1492;0,0738;20,7324;;;;;;
45.1;;;;66,17;35,9;177,56;0,0430;0,4884;6,5303;;;;;;
45.2;;;;103,53;21,8;260,92;0,1446;0,3185;12,2080;;;;;;
45.3;;;;146,15;1,74;363,18;0,2426;0,0738;25,5154;;;;;;
48.1;;;;38,52;27,68;169,07;0,0828;0,6164;6,0404;;;;;;
48.2;;;;83,47;29,32;403,21;0,1239;0,2570;18,4052;;;;;;
48.3;;;;172,97;4,17;442,37;0,2138;0,0808;31,5516;;;;;;
50.1;;;;124,1;53,49;260,68;0,1505;1,0524;8,1677;;;;;;
50.2;;;;168,73;27,95;404,52;0,2753;0,2167;19,9057;;;;;;
50.3;;;;155,6;11,83;497,97;0,5557;0,0840;34,8007;;;;;;