;SS;;;PLU;KLU
5 ;0,0512;;;0,0001;0,0001
7 ;0,0557;;;0,0001;0,0001
10 ;0,0601;;;0,0001;0,0001
12 ; 0,0876;;;0,0001;0,0001
15 ;0,1645;;;0,0001;0,0001
17 ;0,2334;;;0,0001;0,0001
20 ;0,4455;;;0,01;0,0001
22 ;0,3139;;;0,01;0,0001
25 ;0,3516;;;0,0001;0,01
27 ;1,2399;;;0,01;0,01
30 ;1,5051;;;0,01;0,01
33 ;2,3837;;;0,02;0,02
35 ;2,2660;;;0,02;0,02
38 ;2,7610;;;0,03;0,02
40 ;3,2781;;;0,03;0,03
42 ;3,4873;;;0,03;0,03
45 ;6,5303;;;0,04;0,03
48 ;6,0404;;;0,05;0,06
50 ;8,1677;;;0,07;0,05
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;