Intância;Concave;;;Correlated;;;Antecorrelated;;
;1h;2h;3h;1h;2h;3h;1h;2h;3h
15.1;48;48;48;45;45;45;88;103;120
15.2;64;64;64;15;15;15;28;28;28
15.3;51;51;51;8;8;8;121;130;131
17.1;34;34;34;59;59;59;55;56;65
17.2;51;79;89;36;36;36;37;37;37
17.3;64;64;64;7;7;7;77;90;91
20.1;29;30;30;73;73;73;47;47;47
20.2;45;46;46;40;40;40;44;44;44
20.3;34;36;36;10;10;10;89;91;92
22.1;23;23;23;66;66;66;37;37;37
22.2;43;62;63;61;61;61;55;55;55
22.3;28;29;29;6;6;6;63;63;63
25.1;15;15;15;36;36;36;39;39;39
25.2;27;27;27;48;64;64;61;61;61
25.3;31;33;33;9;9;9;66;66;66
27.1;19;19;19;38;38;38;58;58;58
27.2;20;21;21;26;26;26;68;68;68
27.3;26;26;26;19;19;19;68;75;75
30.1;14;14;14;35;35;35;58;58;58
30.2;26;26;26;25;31;31;69;69;69
30.3;27;27;27;25;25;25;76;76;76
33.1;17;17;17;41;41;41;72;72;72
33.2;23;23;23;33;33;33;87;87;87
33.3;39;39;39;17;17;17;79;79;79
35.1;32;32;32;48;48;48;88;88;88
35.2;28;28;28;26;26;26;86;86;86
35.3;41;41;41;16;21;22;88;88;88
38.1;33;33;33;44;44;44;87;87;87
38.2;45;45;45;36;36;36;96;96;96
38.3;63;63;63;12;12;12;98;98;98
40.1;18;18;18;52;52;52;96;96;96
40.2;21;21;21;38;38;38;102;102;102
40.3;40;40;40;14;14;14;99;99;99
42.1;40;40;40;55;55;55;109;109;109
42.2;26;26;26;44;44;44;124;124;124
42.3;33;33;33;15;15;15;100;100;100
45.1;22;22;22;60;60;60;101;101;101
45.2;35;35;35;39;39;39;128;128;128
45.3;56;56;56;17;17;17;119;119;119
48.1;13;13;13;61;61;61;123;123;123
48.2;27;27;27;44;44;44;147;147;147
48.3;47;47;47;19;19;19;118;118;118
50.1;35;35;35;67;67;67;135;135;135
50.2;58;58;58;36;36;36;132;132;132
50.3;72;72;72;16;16;16;122;122;122